ID,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
158,11/17/13,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,SP
3896,11-07-2013,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,SP
9970,10/17/13,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,CA
4002,10/13/13,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,SP
10914,10-12-2013,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,SP
7279,9/30/13,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,US
10582,07-03-2013,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,GER
4470,06-10-2013,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,SP
6183,06-10-2013,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,GER
6379,5/29/13,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,US
8601,4/29/13,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,AUS
4827,03-10-2013,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,SP
6715,01-02-2013,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,SP
10676,11-02-2012,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,SP
1041,10/18/12,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,SA
492,10/18/12,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,CA
11133,10/18/12,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,IND
4491,10-01-2012,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,SP
873,10-01-2012,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,SP
1631,09-03-2012,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,GER
8278,8/26/12,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,SP
6815,5/23/14,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,SP
254,5/17/14,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,SP
1349,4/21/14,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,IND
2534,4/21/14,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,AUS
2130,3/23/14,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,SA
2296,12/16/13,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,SP
3799,11/26/13,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,US
11084,11/14/13,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,CA
5172,11/14/13,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,SP
9504,11-06-2013,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,SP
850,10-06-2013,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,SP
4477,9/27/13,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,GER
1945,9/18/13,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,SP
7685,09-09-2013,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,SP
6310,09-09-2013,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,CA
10832,7/18/13,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,SP
3025,07-08-2013,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,CA
2404,5/27/13,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,US
8581,03-05-2013,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,SP
8755,2/20/13,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,AUS
10177,2/14/13,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,SP
2429,2/14/13,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,CA
8920,01-12-2013,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,IND
8430,12/24/12,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,AUS
8619,12/24/12,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,SP
8996,11/19/12,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,GER
7233,9/17/12,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,CA
6678,3/28/14,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,IND
830,2/24/14,5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,IND
6365,09-02-2013,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,IND
6770,8/20/13,5,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,0,US
2261,6/23/13,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,GER
1031,05-05-2013,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,IND
10089,04-05-2013,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,SA
9256,01-04-2013,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,SP
10641,12/27/12,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,SP
624,11-10-2012,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,0,SA
4211,10/29/12,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,CA
1407,10/29/12,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,GER
10356,9/22/12,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,SP
9323,09-07-2012,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,ME
1146,09-07-2012,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,AUS
6343,3/31/14,6,835,73,380,114,73,43,1,6,9,7,2,0,1,0,0,0,0,0,AUS
8545,3/21/14,6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,1,0,SP
8275,02-09-2014,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP
10673,11/17/13,6,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,0,SA
8799,9/23/13,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,0,SP
67,9/18/13,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP
9923,9/18/13,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP
2814,6/27/13,6,9,1,5,4,5,,1,1,0,3,7,0,0,0,0,0,0,0,SA
2711,6/27/13,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,CA
4320,3/28/13,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,SP
10451,03-12-2013,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SA
4198,03-12-2013,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SP
10814,1/16/13,6,303,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,1,0,SP
944,01-08-2013,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,,0,0,0,SP
8151,12/29/12,6,16,36,,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,SP
6184,12-12-2012,6,561,64,785,84,128,48,1,3,3,8,1,,0,0,0,0,0,0,SP
3498,11/25/12,6,462,61,184,10,53,107,4,7,5,9,6,1,0,0,0,0,1,0,SP
2870,9/21/12,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,0,SP
7342,09-09-2012,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,SP
1911,09-05-2012,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,GER
10862,8/17/12,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,SP
2546,6/22/14,7,23,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,0,0,SP
3005,05-01-2014,7,530,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,1,0,SP
8318,01-03-2014,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,SP
2930,12/16/13,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,0,SA
8216,10-11-2013,7,158,0,76,13,7,71,6,4,4,3,5,0,0,0,0,0,0,0,AUS
1212,8/13/13,7,384,25,292,130,41,64,3,8,8,6,6,1,0,0,0,0,0,0,SP
2541,06-09-2013,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,SP
10659,05-07-2013,7,2,8,11,3,8,21,4,3,2,2,7,0,0,0,0,0,0,0,IND
10905,10/29/12,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,0,SP
8910,10/29/12,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,0,SP
7349,10-02-2012,7,6,17,16,6,16,42,4,3,1,3,8,0,0,0,0,0,1,0,SP
7872,09-12-2012,7,179,21,273,0,21,63,1,6,10,6,5,1,0,1,1,0,1,0,SP
4290,3/19/14,8,1,3,8,2,5,5,1,1,0,2,7,0,0,0,0,0,0,0,CA
7408,03-03-2014,8,216,2,6,0,0,9,2,5,1,4,7,0,0,0,0,0,0,0,SA
9986,2/22/14,8,16,0,23,3,2,10,3,4,1,2,7,0,0,0,0,0,1,0,SA
8235,1/24/14,8,428,30,214,80,30,61,2,6,5,10,3,0,0,0,0,0,0,0,SA
10949,12/16/13,8,1092,37,592,145,37,55,1,5,5,8,3,0,0,0,1,0,1,0,SP
7284,12-04-2013,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SP
9529,11/28/13,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,1,0,SA
9930,11-05-2013,8,606,148,228,15,148,22,1,6,8,13,2,0,0,0,0,0,0,0,CA
10270,10-03-2013,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,0,GER
760,08-09-2013,8,588,7,76,110,15,15,2,8,4,9,6,0,0,0,0,0,0,0,SA
5519,08-07-2013,8,316,58,161,76,51,135,1,6,9,4,5,0,0,0,0,0,1,0,SA
232,7/17/13,8,279,83,88,32,14,34,1,4,2,10,3,0,0,0,0,0,0,0,SP
3009,07-09-2013,8,1462,16,128,0,0,160,1,5,3,6,6,0,1,1,0,1,1,0,SP
6518,06-11-2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,AUS
10669,5/17/13,8,277,21,64,62,21,25,2,3,2,10,3,0,0,0,0,0,0,0,SP
5682,3/23/13,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,AUS
1570,2/19/13,8,664,9,240,50,19,57,2,7,7,10,4,0,0,0,0,0,0,0,SP
1497,1/19/13,8,268,11,88,15,3,22,2,6,3,5,5,0,0,0,0,0,0,0,SA
9723,01-10-2013,8,530,142,217,62,9,56,4,7,4,13,5,0,1,0,0,0,0,0,CA
7261,01-01-2013,8,199,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,1,0,SP
2452,01-01-2013,8,199,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,1,0,SP
5621,12-12-2012,8,73,57,100,71,15,0,5,6,1,5,9,0,0,0,0,0,1,0,SP
10995,11-12-2012,8,16,5,30,8,7,26,3,3,0,4,8,0,0,0,0,0,0,1,SA
7373,10/29/12,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,1,0,AUS
5331,09-11-2012,8,587,51,898,247,0,86,1,3,6,7,2,0,0,0,0,0,0,0,GER
263,5/28/14,9,56,19,29,2,14,25,1,3,1,3,8,0,0,0,0,0,1,0,SP
4619,5/28/14,9,6,2,3,1,262,3,0,27,0,0,1,0,0,0,0,0,0,0,SP
940,5/18/14,9,158,11,99,15,11,17,2,3,2,7,3,0,0,0,0,0,0,0,SA
10084,5/18/14,9,3,2,8,20,0,17,2,2,1,2,7,0,0,0,0,0,0,0,IND
6019,3/30/14,9,45,3,9,4,4,7,1,1,2,2,6,1,0,0,0,0,1,0,SP
1463,3/29/14,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,AUS
6424,1/30/14,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,SP
8233,1/26/14,9,508,5,21,7,5,10,4,7,3,7,5,0,1,0,0,0,0,0,CA
1515,1/22/14,9,11,2,7,4,2,2,1,1,0,3,3,0,0,0,0,0,0,0,CA
10855,1/22/14,9,234,14,77,19,10,42,2,4,1,8,5,0,0,0,0,0,0,0,SP
10909,1/15/14,9,992,24,694,51,19,119,0,5,10,5,1,1,0,1,0,0,0,0,AUS
3376,12/13/13,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,SP
10232,11-05-2013,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,SP
5547,08-07-2013,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,1,0,SP
8362,08-07-2013,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,1,0,SA
3524,08-04-2013,9,80,1,60,4,6,16,2,5,1,2,9,0,0,0,0,0,1,0,SP
10095,05-01-2013,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,CA
8897,4/24/13,9,392,5,91,28,26,112,8,7,3,7,8,0,0,0,0,0,1,0,GER
466,04-03-2013,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,0,0,SP
11025,02-03-2013,9,65,0,46,4,3,20,4,3,1,3,8,0,0,0,0,0,0,0,SP
2387,02-03-2013,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,1,0,SA
1618,01-02-2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,1,0,GER
25,11/16/12,9,460,35,422,33,12,153,2,6,6,7,4,0,0,0,0,0,0,0,CA
3277,08-03-2012,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,SP
8566,6/15/14,10,5,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP
2634,4/18/14,10,5,7,31,15,4,7,3,2,1,3,6,0,0,0,0,0,1,0,SP
8036,4/18/14,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,SP
8159,04-01-2014,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,SP
7628,3/18/14,10,30,5,24,6,3,8,2,2,0,4,5,0,0,0,0,0,0,0,SP
9597,02-10-2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,CA
1384,11/23/13,10,6,4,14,8,8,22,2,2,1,2,8,1,0,0,0,0,0,0,US
10150,11/21/13,10,464,28,873,29,18,37,0,7,4,7,2,0,0,0,1,0,1,0,SA
3885,10/16/13,10,16,2,18,3,0,24,1,1,1,2,8,1,0,0,0,0,1,0,SP
11003,10-02-2013,10,2,5,7,0,18,18,2,2,0,3,7,0,0,0,0,0,0,0,CA
8026,9/30/13,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,CA
577,8/20/13,10,9,1,7,0,3,2,2,1,0,3,7,0,0,0,0,0,0,0,SP
8702,8/20/13,10,9,1,7,0,3,2,2,1,0,3,7,0,0,0,0,0,0,0,AUS
5429,8/20/13,10,145,1,33,2,1,1,1,4,1,4,6,0,0,0,0,0,0,0,SP
977,08-01-2013,10,200,19,111,50,15,19,6,5,1,8,6,0,0,0,0,0,0,0,CA
2793,7/21/13,10,532,88,168,69,44,133,3,7,3,13,5,0,0,0,0,0,0,0,SA
1071,7/21/13,10,532,88,168,69,44,133,3,7,3,13,5,0,0,0,0,0,0,0,US
5074,07-08-2013,10,30,0,10,2,0,5,1,1,0,3,7,0,0,0,0,0,0,0,CA
2632,6/18/13,10,297,0,38,13,0,152,7,5,4,4,6,1,0,0,0,0,1,0,IND
6404,3/24/13,10,151,7,89,0,7,28,5,4,1,6,5,0,0,0,0,0,0,0,SA
10240,2/19/13,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,1,0,CA
2521,01-10-2013,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,1,0,SP
4301,01-10-2013,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,1,0,AUS
7381,12-06-2012,10,797,153,293,72,97,30,1,11,4,6,4,0,1,1,1,0,1,0,SP
2407,11-09-2012,10,823,25,459,124,29,95,1,6,6,7,4,0,0,1,0,0,1,0,US
9064,11-09-2012,10,823,25,459,124,29,95,1,6,6,7,4,0,0,1,0,0,1,0,SP
5067,2/14/14,11,966,26,282,52,26,26,1,2,7,11,5,0,1,1,1,1,0,0,SP
10281,02-07-2014,11,180,60,241,13,54,54,2,5,5,7,4,0,0,0,0,0,1,0,AUS
11191,12-07-2013,11,37,32,38,11,3,18,1,2,1,4,6,0,0,0,0,0,0,0,SP
1994,11/15/13,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,US
2552,10/22/13,11,416,0,26,0,0,4,9,6,3,6,7,0,1,0,0,0,1,0,SP
6720,10/16/13,11,314,11,53,4,3,107,3,7,3,4,7,0,1,0,0,0,1,0,SP
4557,10-04-2013,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,0,SA
1183,9/21/13,11,9,1,4,3,2,3,1,1,0,2,6,0,0,0,0,0,0,0,GER
4186,08-05-2013,11,18,6,15,12,8,17,3,2,1,3,5,0,0,0,0,0,0,0,CA
1419,08-05-2013,11,18,6,15,12,8,17,3,2,1,3,5,0,0,0,0,0,0,0,SP
967,7/21/13,11,342,9,112,19,14,19,10,5,2,9,7,0,0,0,0,0,1,0,SP
1048,7/14/13,11,63,3,67,8,9,28,2,3,1,4,7,0,0,0,0,0,1,0,SA
